org,repo,pr_number,step,input_tokens,output_tokens,tier_used,dollars
heliosdrift,commerce-platform,163,plan,1931,854,base,0.018603
heliosdrift,commerce-platform,163,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,163,synthesize_diff,3072,2008,base,0.039336
heliosdrift,commerce-platform,163,review,2248,1426,base,0.028134
heliosdrift,commerce-platform,163,apply_fixes,2659,1806,base,0.035067
heliosdrift,commerce-platform,163,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,159,plan,1933,882,base,0.019029
heliosdrift,commerce-platform,159,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,159,synthesize_diff,3084,2016,base,0.039492
heliosdrift,commerce-platform,159,review,2256,1440,base,0.028368
heliosdrift,commerce-platform,159,apply_fixes,2669,1812,base,0.035187
heliosdrift,commerce-platform,159,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,178,plan,1965,930,base,0.019845
heliosdrift,commerce-platform,178,select_tools,820,240,base,0.00606
heliosdrift,commerce-platform,178,synthesize_diff,3162,2028,base,0.039906
heliosdrift,commerce-platform,178,review,2308,1464,base,0.028884
heliosdrift,commerce-platform,178,apply_fixes,2733,1822,base,0.035529
heliosdrift,commerce-platform,178,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,200,plan,1930,840,base,0.01839
heliosdrift,commerce-platform,200,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,200,synthesize_diff,3066,2004,base,0.039258
heliosdrift,commerce-platform,200,review,2244,1420,base,0.028032
heliosdrift,commerce-platform,200,apply_fixes,2654,1802,base,0.034992
heliosdrift,commerce-platform,200,summarize,1200,1000,base,0.0186
heliosdrift,commerce-platform,205,plan,1931,854,base,0.018603
heliosdrift,commerce-platform,205,select_tools,810,240,base,0.00603
heliosdrift,commerce-platform,205,synthesize_diff,3072,2008,base,0.039336
heliosdrift,commerce-platform,205,review,2248,1426,base,0.028134
heliosdrift,commerce-platform,205,apply_fixes,2659,1806,base,0.035067
heliosdrift,commerce-platform,205,summarize,1200,1000,base,0.0186
