org,repo,engineer,prs,dollars
heliosdrift,commerce-platform,bsmith79,127,19.277262
heliosdrift,commerce-platform,bwebster87,25,4.068672
heliosdrift,commerce-platform,dcombs39,133,20.192453999999998
heliosdrift,commerce-platform,drodriguez63,1,0.14623799999999998
heliosdrift,commerce-platform,jbell96,1,0.14623799999999998
heliosdrift,commerce-platform,jgarcia13,3,0.440832
heliosdrift,commerce-platform,jrivera79,16,2.455254
heliosdrift,commerce-platform,mchapman99,7,1.031052
heliosdrift,commerce-platform,mmeyer27,8,1.29078
heliosdrift,commerce-platform,pbuck38,9,1.336344
heliosdrift,commerce-platform,ryoung93,7,1.081548
heliosdrift,commerce-platform,scook74,31,4.883832
heliosdrift,commerce-platform,sdunn41,113,17.644697999999998
heliosdrift,commerce-platform,wanderson81,10,1.591596
heliosdrift,commerce-platform,wpeterson13,4,0.585948
