org,repo,pr_number,title,state,createdAt,mergedAt,closedAt,isDraft,isCrossRepository,author,additions,deletions,changedFiles,commits_totalCount,participants_totalCount,closingIssues_count,closingIssues_bug_count
heliosdrift,commerce-platform,163,Synthetic PR #163,MERGED,2024-06-01T00:00:00Z,2024-06-03T00:00:00Z,2024-06-03T00:00:00Z,False,False,dcombs39,60,20,1,1,2,0,0
heliosdrift,commerce-platform,159,Synthetic PR #159,MERGED,2024-06-02T00:00:00Z,2024-06-04T00:00:00Z,2024-06-04T00:00:00Z,False,False,bsmith79,120,40,1,1,2,0,0
heliosdrift,commerce-platform,178,Synthetic PR #178,MERGED,2024-06-03T00:00:00Z,2024-06-05T00:00:00Z,2024-06-05T00:00:00Z,False,False,bsmith79,210,70,2,1,2,0,0
heliosdrift,commerce-platform,200,Synthetic PR #200,MERGED,2024-06-04T00:00:00Z,2024-06-06T00:00:00Z,2024-06-06T00:00:00Z,False,False,bsmith79,30,10,1,1,1,0,0
heliosdrift,commerce-platform,205,Synthetic PR #205,MERGED,2024-06-05T00:00:00Z,2024-06-07T00:00:00Z,2024-06-07T00:00:00Z,False,False,dcombs39,60,20,1,1,2,0,0
heliosdrift,commerce-platform,293,Synthetic PR #293,MERGED,2024-06-06T00:00:00Z,2024-06-08T00:00:00Z,2024-06-08T00:00:00Z,False,False,bsmith79,60,20,1,1,2,0,0
heliosdrift,commerce-platform,297,Synthetic PR #297,MERGED,2024-06-07T00:00:00Z,2024-06-09T00:00:00Z,2024-06-09T00:00:00Z,False,False,ryoung93,60,20,1,1,2,0,0
heliosdrift,commerce-platform,310,Synthetic PR #310,MERGED,2024-06-08T00:00:00Z,2024-06-10T00:00:00Z,2024-06-10T00:00:00Z,False,False,ryoung93,30,10,1,1,1,0,0
heliosdrift,commerce-platform,373,Synthetic PR #373,MERGED,2024-06-09T00:00:00Z,2024-06-11T00:00:00Z,2024-06-11T00:00:00Z,False,False,bsmith79,60,20,1,1,1,0,0
heliosdrift,commerce-platform,404,Synthetic PR #404,MERGED,2024-06-10T00:00:00Z,2024-06-12T00:00:00Z,2024-06-12T00:00:00Z,False,False,dcombs39,60,20,1,1,2,0,0
heliosdrift,commerce-platform,399,Synthetic PR #399,MERGED,2024-06-11T00:00:00Z,2024-06-13T00:00:00Z,2024-06-13T00:00:00Z,False,False,bsmith79,60,20,1,1,1,0,0
heliosdrift,commerce-platform,400,Synthetic PR #400,MERGED,2024-06-12T00:00:00Z,2024-06-14T00:00:00Z,2024-06-14T00:00:00Z,False,False,bsmith79,60,20,1,1,2,0,0
heliosdrift,commerce-platform,418,Synthetic PR #418,MERGED,2024-06-13T00:00:00Z,2024-06-15T00:00:00Z,2024-06-15T00:00:00Z,False,False,dcombs39,150,50,1,1,2,0,0
heliosdrift,commerce-platform,439,Synthetic PR #439,MERGED,2024-06-14T00:00:00Z,2024-06-16T00:00:00Z,2024-06-16T00:00:00Z,False,False,dcombs39,120,40,1,1,2,0,0
heliosdrift,commerce-platform,444,Synthetic PR #444,MERGED,2024-06-15T00:00:00Z,2024-06-17T00:00:00Z,2024-06-17T00:00:00Z,False,False,dcombs39,300,100,3,2,3,0,0
heliosdrift,commerce-platform,460,Synthetic PR #460,MERGED,2024-06-16T00:00:00Z,2024-06-18T00:00:00Z,2024-06-18T00:00:00Z,False,False,bsmith79,90,30,1,1,2,0,0
heliosdrift,commerce-platform,685,Synthetic PR #685,MERGED,2024-06-17T00:00:00Z,2024-06-19T00:00:00Z,2024-06-19T00:00:00Z,False,False,dcombs39,60,20,1,1,1,0,0
heliosdrift,commerce-platform,770,Synthetic PR #770,MERGED,2024-06-18T00:00:00Z,2024-06-20T00:00:00Z,2024-06-20T00:00:00Z,False,False,scook74,30,10,1,1,1,0,0
heliosdrift,commerce-platform,777,Synthetic PR #777,MERGED,2024-06-19T00:00:00Z,2024-06-21T00:00:00Z,2024-06-21T00:00:00Z,False,False,bsmith79,120,40,1,1,1,0,0
heliosdrift,commerce-platform,784,Synthetic PR #784,MERGED,2024-06-20T00:00:00Z,2024-06-22T00:00:00Z,2024-06-22T00:00:00Z,False,False,bsmith79,90,30,1,1,2,0,0
heliosdrift,commerce-platform,782,Synthetic PR #782,MERGED,2024-06-21T00:00:00Z,2024-06-23T00:00:00Z,2024-06-23T00:00:00Z,False,False,bsmith79,150,50,1,1,2,0,0
heliosdrift,commerce-platform,781,Synthetic PR #781,MERGED,2024-06-22T00:00:00Z,2024-06-24T00:00:00Z,2024-06-24T00:00:00Z,False,False,bsmith79,30,10,1,1,1,0,0
heliosdrift,commerce-platform,786,Synthetic PR #786,MERGED,2024-06-23T00:00:00Z,2024-06-25T00:00:00Z,2024-06-25T00:00:00Z,False,False,dcombs39,30,10,1,1,1,0,0
heliosdrift,commerce-platform,772,Synthetic PR #772,MERGED,2024-06-24T00:00:00Z,2024-06-26T00:00:00Z,2024-06-26T00:00:00Z,False,False,dcombs39,330,110,3,2,1,0,0
heliosdrift,commerce-platform,788,Synthetic PR #788,MERGED,2024-06-25T00:00:00Z,2024-06-27T00:00:00Z,2024-06-27T00:00:00Z,False,False,bsmith79,420,140,4,3,2,0,0
heliosdrift,commerce-platform,787,Synthetic PR #787,MERGED,2024-06-26T00:00:00Z,2024-06-28T00:00:00Z,2024-06-28T00:00:00Z,False,False,bsmith79,420,140,4,3,3,0,0
heliosdrift,commerce-platform,790,Synthetic PR #790,MERGED,2024-06-27T00:00:00Z,2024-06-29T00:00:00Z,2024-06-29T00:00:00Z,False,False,bsmith79,120,40,1,1,2,0,0
heliosdrift,commerce-platform,793,Synthetic PR #793,MERGED,2024-06-28T00:00:00Z,2024-06-30T00:00:00Z,2024-06-30T00:00:00Z,False,False,bsmith79,30,10,1,1,1,0,0
heliosdrift,commerce-platform,795,Synthetic PR #795,MERGED,2024-06-29T00:00:00Z,2024-07-01T00:00:00Z,2024-07-01T00:00:00Z,False,False,dcombs39,120,40,1,1,2,0,0
heliosdrift,commerce-platform,783,Synthetic PR #783,MERGED,2024-06-30T00:00:00Z,2024-07-02T00:00:00Z,2024-07-02T00:00:00Z,False,False,dcombs39,270,90,3,2,1,0,0
heliosdrift,commerce-platform,789,Synthetic PR #789,MERGED,2024-07-01T00:00:00Z,2024-07-03T00:00:00Z,2024-07-03T00:00:00Z,False,False,dcombs39,300,100,3,2,1,0,0
heliosdrift,commerce-platform,780,Synthetic PR #780,MERGED,2024-07-02T00:00:00Z,2024-07-04T00:00:00Z,2024-07-04T00:00:00Z,False,False,dcombs39,150,50,1,1,2,0,0
