org,repo,engineer,prs,dollars
heliosdrift,commerce-platform,aburke63,1,0.14623799999999998
heliosdrift,commerce-platform,adennis79,16,2.455254
heliosdrift,commerce-platform,bbishop39,133,20.192453999999998
heliosdrift,commerce-platform,gnunez79,127,19.277262
heliosdrift,commerce-platform,gwilliams87,25,4.068672
heliosdrift,commerce-platform,hscott41,113,17.644697999999998
heliosdrift,commerce-platform,jgarner74,31,4.883832
heliosdrift,commerce-platform,jgraves93,7,1.081548
heliosdrift,commerce-platform,krivera27,8,1.29078
heliosdrift,commerce-platform,ksmith99,7,1.031052
heliosdrift,commerce-platform,kwhitney13,3,0.440832
heliosdrift,commerce-platform,rhardin13,4,0.585948
heliosdrift,commerce-platform,rhines81,10,1.591596
heliosdrift,commerce-platform,rspencer38,9,1.336344
heliosdrift,commerce-platform,sdavis96,1,0.14623799999999998
