org,repo,pr_number,calls,input_tokens,output_tokens,dollars
heliosdrift,commerce-platform,159,6,11952,7390,0.146706
heliosdrift,commerce-platform,163,6,11920,7334,0.14577
heliosdrift,commerce-platform,178,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,200,6,11904,7306,0.145302
heliosdrift,commerce-platform,205,6,11920,7334,0.14577
heliosdrift,commerce-platform,293,6,11920,7334,0.14577
heliosdrift,commerce-platform,297,6,11920,7334,0.14577
heliosdrift,commerce-platform,310,6,11904,7306,0.145302
heliosdrift,commerce-platform,373,6,11920,7334,0.14577
heliosdrift,commerce-platform,399,6,11920,7334,0.14577
heliosdrift,commerce-platform,400,6,11920,7334,0.14577
heliosdrift,commerce-platform,404,6,11920,7334,0.14577
heliosdrift,commerce-platform,418,6,11968,7420,0.147204
heliosdrift,commerce-platform,439,6,11952,7390,0.146706
heliosdrift,commerce-platform,444,6,12526,7612,0.151758
heliosdrift,commerce-platform,460,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,685,6,11920,7334,0.14577
heliosdrift,commerce-platform,770,6,11904,7306,0.145302
heliosdrift,commerce-platform,772,6,12540,7636,0.15216
heliosdrift,commerce-platform,773,6,11952,7390,0.146706
heliosdrift,commerce-platform,775,6,11968,7420,0.147204
heliosdrift,commerce-platform,776,6,12862,7734,0.154596
heliosdrift,commerce-platform,777,6,11952,7390,0.146706
heliosdrift,commerce-platform,780,6,11968,7420,0.147204
heliosdrift,commerce-platform,781,6,11904,7306,0.145302
heliosdrift,commerce-platform,782,6,11968,7420,0.147204
heliosdrift,commerce-platform,783,6,12510,7582,0.15126
heliosdrift,commerce-platform,784,6,11936,7362,0.14623799999999998
heliosdrift,commerce-platform,786,6,11904,7306,0.145302
heliosdrift,commerce-platform,787,6,12878,7762,0.155064
heliosdrift,commerce-platform,788,6,12878,7762,0.155064
heliosdrift,commerce-platform,789,6,12526,7612,0.151758
heliosdrift,commerce-platform,790,6,11952,7390,0.146706
heliosdrift,commerce-platform,793,6,11904,7306,0.145302
heliosdrift,commerce-platform,795,6,11952,7390,0.146706
heliosdrift,commerce-platform,799,6,11904,7306,0.145302
heliosdrift,commerce-platform,801,6,11968,7420,0.147204
heliosdrift,commerce-platform,802,6,11920,7334,0.14577
heliosdrift,commerce-platform,803,6,11920,7334,0.14577
heliosdrift,commerce-platform,805,6,15004,8520,0.172812
heliosdrift,commerce-platform,808,6,15020,8548,0.17328
heliosdrift,commerce-platform,809,6,12188,7484,0.14882399999999998
heliosdrift,commerce-platform,813,6,11968,7420,0.147204
heliosdrift,commerce-platform,814,6,12172,7456,0.148356
